35,14,52,28,23,51,124,31,31,57,50,32,26,48,154,47,57,56,Nan,123,Nan,35,33,43,44,Nan,62,41,58,59,23
12,64,41,42,32,Nan,43,Nan,Nan,34,50,50,50,42,43,42,22,41,Nan,7,Nan,39,23,27,39,Nan,16,21,13,38,19
40,48,20,35,39,37,61,154,32,51,Nan,31,73,93,Nan,Nan,40,24,Nan,34,42,41,27,42,34,35,34,48,52,19,52
43,35,36,65,64,24,67,35,16,43,Nan,22,42,39,154,22,46,34,45,27,59,34,42,33,27,31,47,39,37,39,Nan
57,31,30,32,31,24,54,154,54,30,123,14,26,33,43,Nan,Nan,27,36,42,37,72,46,Nan,33,24,35,Nan,Nan,42,28
66,Nan,33,46,46,36,24,154,38,54,58,60,40,64,52,56,36,16,33,64,52,30,52,60,51,56,40,32,40,38,39
40,16,49,51,49,10,43,154,34,46,84,46,46,41,33,41,Nan,36,21,48,25,34,36,19,Nan,Nan,29,Nan,Nan,Nan,26
37,36,33,37,34,39,38,154,40,33,Nan,Nan,36,Nan,37,38,42,25,33,41,26,16,16,Nan,34,38,30,Nan,Nan,13,Nan
38,46,61,63,32,Nan,43,156,51,35,38,22,25,61,14,31,59,20,46,41,37,57,9,34,20,13,63,45,39,8,35
28,Nan,Nan,45,56,51,Nan,Nan,Nan,51,Nan,Nan,47,Nan,Nan,67,44,Nan,53,Nan,11,48,14,Nan,32,59,46,44,32,49,23
51,20,26,49,13,49,40,154,39,154,42,21,43,Nan,23,123,39,28,39,Nan,Nan,33,46,67,41,36,29,40,47,13,38
31,42,24,36,36,35,26,27,28,125,124,32,36,27,28,123,32,71,44,49,37,22,35,Nan,Nan,20,74,19,57,25,53
44,30,26,33,59,31,7,27,27,154,16,15,39,15,72,123,46,38,Nan,50,37,22,23,58,41,37,56,40,40,12,60
49,Nan,48,48,49,4,31,Nan,Nan,44,23,Nan,Nan,Nan,49,123,21,45,27,50,31,34,44,7,29,51,37,23,20,57,19
37,30,39,37,36,11,37,37,Nan,68,Nan,15,Nan,62,36,123,Nan,40,28,Nan,46,58,23,Nan,33,23,7,37,37,34,16
67,68,45,26,10,13,58,43,43,53,28,45,63,11,36,123,34,27,51,30,50,43,51,21,37,12,72,35,28,25,45
61,Nan,Nan,Nan,45,20,30,46,47,42,Nan,Nan,25,40,23,123,34,38,50,Nan,49,35,39,39,42,64,38,36,11,25,36
47,36,39,43,42,28,50,78,66,45,30,14,26,50,29,42,47,15,8,64,72,75,42,39,33,57,24,37,36,29,39
53,26,47,95,28,37,39,47,27,36,32,43,38,26,22,43,40,52,34,55,33,61,58,16,Nan,38,53,Nan,11,43,55
83,40,39,47,46,52,39,35,34,51,123,36,22,34,66,33,50,36,59,40,84,52,51,23,41,46,41,34,26,48,36
32,42,37,46,45,24,Nan,68,77,44,44,24,38,47,39,34,16,45,45,33,52,65,31,8,39,34,48,33,42,41,45
47,29,40,43,14,48,41,33,24,71,35,24,39,41,28,24,33,43,13,16,52,30,47,Nan,40,47,98,28,35,19,28
50,42,42,35,41,16,57,42,45,50,43,33,45,54,50,23,54,49,38,22,24,15,49,Nan,26,11,36,Nan,Nan,Nan,50
7,Nan,32,33,34,36,14,Nan,23,21,40,Nan,43,63,40,25,48,42,34,51,23,40,32,65,46,11,37,14,29,62,25
35,37,29,24,34,41,40,33,33,31,33,Nan,Nan,22,Nan,44,36,45,33,36,42,24,56,41,23,25,59,46,31,69,30
24,42,59,41,40,47,51,54,60,48,34,23,42,35,46,45,44,24,40,49,37,49,51,38,36,41,56,37,56,36,34
63,26,29,35,48,23,23,41,39,44,13,44,43,36,15,62,58,57,34,37,57,20,54,38,30,39,61,42,7,27,Nan
15,21,43,39,46,5,35,16,45,Nan,57,25,12,Nan,42,30,38,44,53,Nan,26,32,45,Nan,51,57,39,20,40,48,31
38,38,Nan,Nan,21,60,Nan,31,Nan,28,34,15,Nan,21,16,56,34,27,37,31,20,45,Nan,53,51,62,32,33,43,56,48
69,31,43,47,53,46,40,25,25,60,23,52,57,21,38,29,30,38,93,78,29,24,44,45,9,60,51,31,52,37,29
20,31,45,66,69,50,32,56,39,31,21,16,25,39,46,15,58,26,41,38,42,36,43,56,56,46,116,46,42,45,52
26,45,28,30,25,37,42,29,29,35,15,47,26,27,48,12,31,30,36,53,35,36,40,49,23,28,168,51,44,31,34
